460010070081	Voice	MiddlePassive	Middle
460010160071	Gender	Neuter	
460010160071	Number	Singular	
460010160071	Case	Accusative	
460010180091	Voice	MiddlePassive	Middle
460010310051	Voice	MiddlePassive	Middle
460010310081	Voice	MiddlePassive	Middle
460020140051	Voice	MiddlePassive	Middle
460020140171	Voice	MiddlePassive	Middle
460030020081	Voice	MiddlePassive	Middle
460030020131	Voice	MiddlePassive	Middle
460030110051	Voice	MiddlePassive	Middle
460030110091	Voice	MiddlePassive	Middle
460030130161	Case	Nominative	Accusative
460030130171	Case	Nominative	Accusative
460030130181	Case	Nominative	Accusative
460030190151	Voice	MiddlePassive	Middle
460030210031	Voice	MiddlePassive	Middle
460040010031	Voice	MiddlePassive	Middle
460040020021	Gender	Neuter	
460040020021	Number	Singular	
460040020021	Case	Accusative	
460040070161	Voice	MiddlePassive	Middle
460040080101	Tense	Aorist	
460040080101	Person	First	
460040080101	Number	Singular	
460040080101	Mood	Indicative	
460040080101	Voice	Active	
460040120031	Voice	MiddlePassive	Middle
460040120101	Voice	MiddlePassive	Middle
460040140111	Gender	Masculine	
460040140111	Mood	Participle	Indicative
460040140111	Case	Nominative	
460040160061	Voice	MiddlePassive	Middle
460040180031	Voice	MiddlePassive	Middle
460050040121	Gender	Neuter	Masculine
460070090041	Voice	MiddlePassive	Middle
460070150051	Voice	MiddlePassive	Passive
460070180051	Voice	MiddlePassive	Middle
460070210091	Voice	MiddlePassive	Middle
460070230041	Voice	MiddlePassive	Middle
460070280241	Voice	MiddlePassive	Middle
460070310031	Voice	MiddlePassive	Middle
460070310081	Voice	MiddlePassive	Middle
460070360121	Gender	Masculine	Feminine
460070360161	Voice	MiddlePassive	Middle
460070390201	Gender	Neuter	
460070390201	Number	Singular	
460070390201	Case	Accusative	
460080100111	Voice	MiddlePassive	Middle
460090060101	Voice	MiddlePassive	Middle
460090130071	Voice	MiddlePassive	Middle
460090130191	Voice	MiddlePassive	Middle
460090150041	Voice	MiddlePassive	Middle
460090160111	Voice	MiddlePassive	Middle
460090250041	Voice	MiddlePassive	Middle
460090250061	Voice	MiddlePassive	Middle
460100020061	Voice	Passive	Middle
460100070031	Voice	MiddlePassive	Middle
460100090131	Voice	MiddlePassive	Passive
460100130191	Voice	MiddlePassive	Middle
460100130291	Voice	MiddlePassive	Middle
