470110010011|ὄφελον|470110010021|ptcl|Cat="ptcl"|Id="3"|morphId="470110010011"|Unicode="ὄφελον"|Lemma="ὄφελον"|Lang="G"|StrongNumber="G37850"|Morph="T,,,,,,,,,"|English="wish"
470110010021|ἀνείχεσθέ|None|CL|Cat="verb"|Id="7"|morphId="470110010021"|Unicode="ἀνείχεσθέ"|Lemma="ἀνέχω"|Lang="G"|StrongNumber="G04300"|Morph="V,IIM2,,P,"|Mood="Indicative"|Tense="Imperfect"|Voice="Middle"|Person="Second"|Number="Plural"|English="you would bear with"
470110020041|Θεοῦ|470110020051|np|Cat="noun"|Id="15"|morphId="470110020041"|Unicode="Θεοῦ"|Lemma="θεός"|Lang="G"|StrongNumber="G23160"|Morph="N,,,,,GMS,"|Case="Genitive"|Gender="Masculine"|Number="Singular"|English="godly"
470110020051|ζήλῳ;|470110020011|ADV|Cat="noun"|Id="17"|morphId="470110020051"|Unicode="ζήλῳ;"|Lemma="ζῆλος"|Lang="G"|StrongNumber="G22050"|Morph="N,,,,,DMS,"|Case="Dative"|Gender="Masculine"|Number="Singular"|English="with a ~ jealousy"
470110020071|γὰρ|470110020061|conj|Cat="conj"|Id="19"|morphId="470110020071"|Unicode="γὰρ"|Lemma="γάρ"|Lang="G"|StrongNumber="G10630"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="for"
470110020061|ἡρμοσάμην|470110020011|CL|Cat="verb"|Id="23"|morphId="470110020061"|Unicode="ἡρμοσάμην"|Lemma="ἁρμόζω"|Lang="G"|StrongNumber="G07180"|Morph="V,IAM1,,S,"|Mood="Indicative"|Tense="Aorist"|Voice="Middle"|Person="First"|Number="Singular"|English="I promised"
470110020081|ὑμᾶς|470110020061|O|Cat="pron"|Id="26"|morphId="470110020081"|Unicode="ὑμᾶς"|Lemma="σύ"|Lang="G"|StrongNumber="G47710"|Morph="RP,,,2A,P,"|Type="Personal"|Person="Second"|Case="Accusative"|Number="Plural"|English="you"
470110020091|ἑνὶ|470110020101|nump|Cat="det"|Id="31"|morphId="470110020091"|Unicode="ἑνὶ"|Lemma="εἷς"|Lang="G"|StrongNumber="G15200"|Morph="EN,,,,DMS,"|Type="Number"|Case="Dative"|Gender="Masculine"|Number="Singular"|English="one"
470110020101|ἀνδρὶ,|470110020061|IO|Cat="noun"|Id="33"|morphId="470110020101"|Unicode="ἀνδρὶ,"|Lemma="ἀνήρ"|Lang="G"|StrongNumber="G04350"|Morph="N,,,,,DMS,"|Case="Dative"|Gender="Masculine"|Number="Singular"|English="to ~ husband"
470110020111|παρθένον|470110020131|O|Cat="noun"|Id="39"|morphId="470110020111"|Unicode="παρθένον"|Lemma="παρθένος"|Lang="G"|StrongNumber="G39330"|Morph="N,,,,,AFS,"|Case="Accusative"|Gender="Feminine"|Number="Singular"|English="a ~ virgin"
470110020121|ἁγνὴν|470110020111|adjp|Cat="adj"|Id="41"|morphId="470110020121"|Unicode="ἁγνὴν"|Lemma="ἁγνός"|Lang="G"|StrongNumber="G00530"|Morph="AA,,,,AFS,"|Type="Ascriptive"|Case="Accusative"|Gender="Feminine"|Number="Singular"|English="pure"
470110020131|παραστῆσαι|470110020061|ADV|Cat="verb"|Id="44"|morphId="470110020131"|Unicode="παραστῆσαι"|Lemma="παρίστημι"|Lang="G"|StrongNumber="G39360"|Morph="V,NAA,,,,,"|Mood="Infinitive"|Tense="Aorist"|Voice="Active"|English="to present"
470110020141|τῷ|470110020151|det|Cat="det"|Id="47"|morphId="470110020141"|Unicode="τῷ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,DMS,"|Type="Article"|Case="Dative"|Gender="Masculine"|Number="Singular"
470110020151|Χριστῷ.|470110020131|IO|Cat="noun"|Id="49"|morphId="470110020151"|Unicode="Χριστῷ."|Lemma="χριστός"|Lang="G"|StrongNumber="G55470"|Morph="N,,,,,DMS,"|Case="Dative"|Gender="Masculine"|Number="Singular"|English="to Christ"
470110030021|δὲ,|470110030011|conj|Cat="conj"|Id="3"|morphId="470110030021"|Unicode="δὲ,"|Lemma="δέ"|Lang="G"|StrongNumber="G11610"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="but"
470110030011|φοβοῦμαι|None|CL|Cat="verb"|Id="8"|morphId="470110030011"|Unicode="φοβοῦμαι"|Lemma="φοβέω"|Lang="G"|StrongNumber="G53990"|Morph="V,IPM1,,S,"|Mood="Indicative"|Tense="Present"|Voice="Middle"|Person="First"|Number="Singular"|English="I am afraid"
470110030031|μή|470110030141|ptcl|Cat="conj"|Id="11"|morphId="470110030031"|Unicode="μή"|Lemma="μή"|Lang="G"|StrongNumber="G33610"|Morph="CS,,,,,,,,"|Type="Subordinating"|English="lest"
470110030041|πως|470110030141|advp|Cat="adv"|Id="14"|morphId="470110030041"|Unicode="πως"|Lemma="πώς"|Lang="G"|StrongNumber="G44580"|Morph="D,,,,,,,,,"|English="somehow"
470110030051|ὡς|470110030081|conj|Cat="conj"|Id="17"|morphId="470110030051"|Unicode="ὡς"|Lemma="ὡς"|Lang="G"|StrongNumber="G56130"|Morph="CS,,,,,,,,"|Type="Subordinating"|English="as"
470110030061|ὁ|470110030071|det|Cat="det"|Id="21"|morphId="470110030061"|Unicode="ὁ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,NMS,"|Type="Article"|Case="Nominative"|Gender="Masculine"|Number="Singular"|English="the"
470110030071|ὄφις|470110030081|S|Cat="noun"|Id="23"|morphId="470110030071"|Unicode="ὄφις"|Lemma="ὄφις"|Lang="G"|StrongNumber="G37890"|Morph="N,,,,,NMS,"|Case="Nominative"|Gender="Masculine"|Number="Singular"|English="serpent"
470110030081|ἐξηπάτησεν|470110030141|CL|Cat="verb"|Id="26"|morphId="470110030081"|Unicode="ἐξηπάτησεν"|Lemma="ἐξαπατάω"|Lang="G"|StrongNumber="G18180"|Morph="V,IAA3,,S,"|Mood="Indicative"|Tense="Aorist"|Voice="Active"|Person="Third"|Number="Singular"|English="deceived"
470110030091|Εὕαν|470110030081|O|Cat="noun"|Id="29"|morphId="470110030091"|Unicode="Εὕαν"|Lemma="Εὕα"|Lang="G"|StrongNumber="G20960"|Morph="N,,,,,AFS,"|Case="Accusative"|Gender="Feminine"|Number="Singular"|English="Eve"
470110030101|ἐν|470110030121|prep|Cat="prep"|Id="32"|morphId="470110030101"|Unicode="ἐν"|Lemma="ἐν"|Lang="G"|StrongNumber="G17220"|Morph="P,,,,,D,,,"|Case="Dative"|English="by"
470110030111|τῇ|470110030121|det|Cat="det"|Id="34"|morphId="470110030111"|Unicode="τῇ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,DFS,"|Type="Article"|Case="Dative"|Gender="Feminine"|Number="Singular"|English="the"
470110030121|πανουργίᾳ|470110030081|ADV|Cat="noun"|Id="37"|morphId="470110030121"|Unicode="πανουργίᾳ"|Lemma="πανουργία"|Lang="G"|StrongNumber="G38340"|Morph="N,,,,,DFS,"|Case="Dative"|Gender="Feminine"|Number="Singular"|English="cunning"
470110030131|αὐτοῦ,|470110030121|np|Cat="pron"|Id="39"|morphId="470110030131"|Unicode="αὐτοῦ,"|Lemma="αὐτός"|Lang="G"|StrongNumber="G08460"|Morph="RP,,,3GMS,"|Type="Personal"|Person="Third"|Case="Genitive"|Gender="Masculine"|Number="Singular"|English="of him"
470110030141|φθαρῇ|470110030011|CL|Cat="verb"|Id="43"|morphId="470110030141"|Unicode="φθαρῇ"|Lemma="φθείρω"|Lang="G"|StrongNumber="G53510"|Morph="V,SAP3,,S,"|Mood="Subjunctive"|Tense="Aorist"|Voice="Passive"|Person="Third"|Number="Singular"|English="will be led astray"
470110030151|τὰ|470110030161|det|Cat="det"|Id="46"|morphId="470110030151"|Unicode="τὰ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,NNP,"|Type="Article"|Case="Nominative"|Gender="Neuter"|Number="Plural"|English="the"
470110030161|νοήματα|470110030141|S|Cat="noun"|Id="49"|morphId="470110030161"|Unicode="νοήματα"|Lemma="νόημα"|Lang="G"|StrongNumber="G35400"|Morph="N,,,,,NNP,"|Case="Nominative"|Gender="Neuter"|Number="Plural"|English="minds"
470110030171|ὑμῶν|470110030161|np|Cat="pron"|Id="51"|morphId="470110030171"|Unicode="ὑμῶν"|Lemma="σύ"|Lang="G"|StrongNumber="G47710"|Morph="RP,,,2G,P,"|Type="Personal"|Person="Second"|Case="Genitive"|Number="Plural"|English="of you"
470110030181|ἀπὸ|470110030201|prep|Cat="prep"|Id="54"|morphId="470110030181"|Unicode="ἀπὸ"|Lemma="ἀπό"|Lang="G"|StrongNumber="G05750"|Morph="P,,,,,G,,,"|Case="Genitive"|English="from"
470110030191|τῆς|470110030201|det|Cat="det"|Id="58"|morphId="470110030191"|Unicode="τῆς"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,GFS,"|Type="Article"|Case="Genitive"|Gender="Feminine"|Number="Singular"|English="the"
470110030201|ἁπλότητος|470110030141|ADV|Cat="noun"|Id="60"|morphId="470110030201"|Unicode="ἁπλότητος"|Lemma="ἁπλότης"|Lang="G"|StrongNumber="G05720"|Morph="N,,,,,GFS,"|Case="Genitive"|Gender="Feminine"|Number="Singular"|English="sincere"
470110030211|καὶ|470110030201|conj|Cat="conj"|Id="61"|morphId="470110030211"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
470110030221|τῆς|470110030231|det|Cat="det"|Id="63"|morphId="470110030221"|Unicode="τῆς"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,GFS,"|Type="Article"|Case="Genitive"|Gender="Feminine"|Number="Singular"|English="the"
470110030231|ἁγνότητος|470110030201|np|Cat="noun"|Id="65"|morphId="470110030231"|Unicode="ἁγνότητος"|Lemma="ἁγνότης"|Lang="G"|StrongNumber="G00540"|Morph="N,,,,,GFS,"|Case="Genitive"|Gender="Feminine"|Number="Singular"|English="pure"
470110030241|τῆς|470110030201|np|Cat="pron"|Id="68"|morphId="470110030241"|Unicode="τῆς"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="RD,,,,GFS,"|Type="Demonstrative"|Case="Genitive"|Gender="Feminine"|Number="Singular"
470110030251|εἰς|470110030271|prep|Cat="prep"|Id="70"|morphId="470110030251"|Unicode="εἰς"|Lemma="εἰς"|Lang="G"|StrongNumber="G15190"|Morph="P,,,,,A,,,"|Case="Accusative"|English="to"
470110030261|τὸν|470110030271|det|Cat="det"|Id="72"|morphId="470110030261"|Unicode="τὸν"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,AMS,"|Type="Article"|Case="Accusative"|Gender="Masculine"|Number="Singular"
470110030271|Χριστόν.|470110030241|pp|Cat="noun"|Id="74"|morphId="470110030271"|Unicode="Χριστόν."|Lemma="χριστός"|Lang="G"|StrongNumber="G55470"|Morph="N,,,,,AMS,"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="Christ"
470110040031|γὰρ|470110040261|conj|Cat="conj"|Id="3"|morphId="470110040031"|Unicode="γὰρ"|Lemma="γάρ"|Lang="G"|StrongNumber="G10630"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="for"
470110040021|μὲν|470110040261|ptcl|Cat="adv"|Id="6"|morphId="470110040021"|Unicode="μὲν"|Lemma="μέν"|Lang="G"|StrongNumber="G33030"|Morph="D,,,,,,,,,"|English="indeed"
470110040011|εἰ|470110040081|conj|Cat="conj"|Id="9"|morphId="470110040011"|Unicode="εἰ"|Lemma="εἰ"|Lang="G"|StrongNumber="G14870"|Morph="CS,,,,,,,,"|Type="Subordinating"|English="if"
470110040041|ὁ|470110040051|det|Cat="pron"|Id="15"|morphId="470110040041"|Unicode="ὁ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="RD,,,,NMS,"|Type="Demonstrative"|Case="Nominative"|Gender="Masculine"|Number="Singular"|English="someone"
470110040051|ἐρχόμενος|470110040081|S|Cat="verb"|Id="19"|morphId="470110040051"|Unicode="ἐρχόμενος"|Lemma="ἔρχομαι"|Lang="G"|StrongNumber="G20640"|Morph="V,PPM,NMS,"|Mood="Participle"|Tense="Present"|Voice="Middle"|Case="Nominative"|Gender="Masculine"|Number="Singular"|English="comes"
470110040081|κηρύσσει|470110040261|CL|Cat="verb"|Id="22"|morphId="470110040081"|Unicode="κηρύσσει"|Lemma="κηρύσσω"|Lang="G"|StrongNumber="G27840"|Morph="V,IPA3,,S,"|Mood="Indicative"|Tense="Present"|Voice="Active"|Person="Third"|Number="Singular"|English="preaches"
470110040061|ἄλλον|470110040071|adjp|Cat="det"|Id="27"|morphId="470110040061"|Unicode="ἄλλον"|Lemma="ἄλλος"|Lang="G"|StrongNumber="G02430"|Morph="EF,,,,AMS,"|Type="Differential"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="another"
470110040071|Ἰησοῦν|470110040081|O|Cat="noun"|Id="30"|morphId="470110040071"|Unicode="Ἰησοῦν"|Lemma="Ἰησοῦς"|Lang="G"|StrongNumber="G24240"|Morph="N,,,,,AMS,"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="Jesus"
470110040091|ὃν|470110040111|O|Cat="pron"|Id="34"|morphId="470110040091"|Unicode="ὃν"|Lemma="ὅς"|Lang="G"|StrongNumber="G37390"|Morph="RR,,,,AMS,"|Type="Relative"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="whom"
470110040101|οὐκ|470110040111|ADV|Cat="adv"|Id="37"|morphId="470110040101"|Unicode="οὐκ"|Lemma="οὐ"|Lang="G"|StrongNumber="G37560"|Morph="D,,,,,,,,,"|English="not"
470110040111|ἐκηρύξαμεν,|470110040071|CL|Cat="verb"|Id="40"|morphId="470110040111"|Unicode="ἐκηρύξαμεν,"|Lemma="κηρύσσω"|Lang="G"|StrongNumber="G27840"|Morph="V,IAA1,,P,"|Mood="Indicative"|Tense="Aorist"|Voice="Active"|Person="First"|Number="Plural"|English="we have ~ preached"
470110040121|ἢ|470110040081|conj|Cat="conj"|Id="41"|morphId="470110040121"|Unicode="ἢ"|Lemma="ἤ"|Lang="G"|StrongNumber="G22280"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="or"
470110040151|λαμβάνετε|470110040081|CL|Cat="verb"|Id="45"|morphId="470110040151"|Unicode="λαμβάνετε"|Lemma="λαμβάνω"|Lang="G"|StrongNumber="G29830"|Morph="V,IPA2,,P,"|Mood="Indicative"|Tense="Present"|Voice="Active"|Person="Second"|Number="Plural"|English="you receive"
470110040131|πνεῦμα|470110040151|O|Cat="noun"|Id="51"|morphId="470110040131"|Unicode="πνεῦμα"|Lemma="πνεῦμα"|Lang="G"|StrongNumber="G41510"|Morph="N,,,,,ANS,"|Case="Accusative"|Gender="Neuter"|Number="Singular"|English="a ~ spirit"
470110040141|ἕτερον|470110040131|adjp|Cat="det"|Id="54"|morphId="470110040141"|Unicode="ἕτερον"|Lemma="ἕτερος"|Lang="G"|StrongNumber="G20870"|Morph="EF,,,,ANS,"|Type="Differential"|Case="Accusative"|Gender="Neuter"|Number="Singular"|English="different"
470110040161|ὃ|470110040181|O|Cat="pron"|Id="58"|morphId="470110040161"|Unicode="ὃ"|Lemma="ὅς"|Lang="G"|StrongNumber="G37390"|Morph="RR,,,,ANS,"|Type="Relative"|Case="Accusative"|Gender="Neuter"|Number="Singular"|English="which"
470110040171|οὐκ|470110040181|ADV|Cat="adv"|Id="61"|morphId="470110040171"|Unicode="οὐκ"|Lemma="οὐ"|Lang="G"|StrongNumber="G37560"|Morph="D,,,,,,,,,"|English="not"
470110040181|ἐλάβετε,|470110040131|CL|Cat="verb"|Id="64"|morphId="470110040181"|Unicode="ἐλάβετε,"|Lemma="λαμβάνω"|Lang="G"|StrongNumber="G29830"|Morph="V,IAA2,,P,"|Mood="Indicative"|Tense="Aorist"|Voice="Active"|Person="Second"|Number="Plural"|English="you received"
470110040191|ἢ|470110040131|conj|Cat="conj"|Id="65"|morphId="470110040191"|Unicode="ἢ"|Lemma="ἤ"|Lang="G"|StrongNumber="G22280"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="or"
470110040201|εὐαγγέλιον|470110040131|np|Cat="noun"|Id="69"|morphId="470110040201"|Unicode="εὐαγγέλιον"|Lemma="εὐαγγέλιον"|Lang="G"|StrongNumber="G20980"|Morph="N,,,,,ANS,"|Case="Accusative"|Gender="Neuter"|Number="Singular"|English="a ~ gospel"
470110040211|ἕτερον|470110040201|adjp|Cat="det"|Id="72"|morphId="470110040211"|Unicode="ἕτερον"|Lemma="ἕτερος"|Lang="G"|StrongNumber="G20870"|Morph="EF,,,,ANS,"|Type="Differential"|Case="Accusative"|Gender="Neuter"|Number="Singular"|English="different"
470110040221|ὃ|470110040241|O|Cat="pron"|Id="76"|morphId="470110040221"|Unicode="ὃ"|Lemma="ὅς"|Lang="G"|StrongNumber="G37390"|Morph="RR,,,,ANS,"|Type="Relative"|Case="Accusative"|Gender="Neuter"|Number="Singular"|English="which"
470110040231|οὐκ|470110040241|ADV|Cat="adv"|Id="79"|morphId="470110040231"|Unicode="οὐκ"|Lemma="οὐ"|Lang="G"|StrongNumber="G37560"|Morph="D,,,,,,,,,"|English="not"
470110040241|ἐδέξασθε,|470110040201|CL|Cat="verb"|Id="82"|morphId="470110040241"|Unicode="ἐδέξασθε,"|Lemma="δέχομαι"|Lang="G"|StrongNumber="G12090"|Morph="V,IAM2,,P,"|Mood="Indicative"|Tense="Aorist"|Voice="Middle"|Person="Second"|Number="Plural"|English="you accepted"
470110040251|καλῶς|470110040261|ADV|Cat="adv"|Id="86"|morphId="470110040251"|Unicode="καλῶς"|Lemma="καλῶς"|Lang="G"|StrongNumber="G25730"|Morph="D,,,,,,,,,"|English="well"
470110040261|ἀνέχεσθε.|None|CL|Cat="verb"|Id="89"|morphId="470110040261"|Unicode="ἀνέχεσθε."|Lemma="ἀνέχω"|Lang="G"|StrongNumber="G04300"|Morph="V,IPM2,,P,"|Mood="Indicative"|Tense="Present"|Voice="Middle"|Person="Second"|Number="Plural"|English="you put up with"
470110050021|γὰρ|470110050011|conj|Cat="conj"|Id="3"|morphId="470110050021"|Unicode="γὰρ"|Lemma="γάρ"|Lang="G"|StrongNumber="G10630"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="for"
470110050011|λογίζομαι|None|CL|Cat="verb"|Id="7"|morphId="470110050011"|Unicode="λογίζομαι"|Lemma="λογίζομαι"|Lang="G"|StrongNumber="G30490"|Morph="V,IPM1,,S,"|Mood="Indicative"|Tense="Present"|Voice="Middle"|Person="First"|Number="Singular"|English="I consider"
470110050031|μηδὲν|470110050041|O|Cat="pron"|Id="12"|morphId="470110050031"|Unicode="μηδὲν"|Lemma="μηδείς"|Lang="G"|StrongNumber="G33670"|Morph="RI,,,,ANS,"|Type="Indefinite"|Case="Accusative"|Gender="Neuter"|Number="Singular"|English="not in the least"
470110050041|ὑστερηκέναι|470110050011|O|Cat="verb"|Id="15"|morphId="470110050041"|Unicode="ὑστερηκέναι"|Lemma="ὑστερέω"|Lang="G"|StrongNumber="G53020"|Morph="V,NEA,,,,,"|Mood="Infinitive"|Tense="Perfect"|Voice="Active"|English="inferior"
470110050051|τῶν|470110050071|det|Cat="det"|Id="18"|morphId="470110050051"|Unicode="τῶν"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,GMP,"|Type="Article"|Case="Genitive"|Gender="Masculine"|Number="Plural"|English="the"
470110050061|ὑπέρλίαν|470110050071|advp|Cat="adv"|Id="21"|morphId="470110050061"|Unicode="ὑπέρλίαν"|Lemma="ὑπέρλίαν"|Lang="G"|StrongNumber="G52440"|Morph="D,,,,,,,,,"|English="most eminent"
470110050071|ἀποστόλων.|470110050041|ADV|Cat="noun"|Id="23"|morphId="470110050071"|Unicode="ἀποστόλων."|Lemma="ἀπόστολος"|Lang="G"|StrongNumber="G06520"|Morph="N,,,,,GMP,"|Case="Genitive"|Gender="Masculine"|Number="Plural"|English="to ~ apostles"
470110060021|δὲ|470110060101|conj|Cat="conj"|Id="3"|morphId="470110060021"|Unicode="δὲ"|Lemma="δέ"|Lang="G"|StrongNumber="G11610"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="but"
470110060011|εἰ|470110060041|conj|Cat="conj"|Id="7"|morphId="470110060011"|Unicode="εἰ"|Lemma="εἰ"|Lang="G"|StrongNumber="G14870"|Morph="CS,,,,,,,,"|Type="Subordinating"|English="if"
470110060031|καὶ|470110060041|advp|Cat="adv"|Id="12"|morphId="470110060031"|Unicode="καὶ"|Lemma="καί"|Lang="G"|StrongNumber="G25320"|Morph="D,,,,,,,,,"|English="even"
470110060041|ἰδιώτης|470110060101|CL|Cat="noun"|Id="14"|morphId="470110060041"|Unicode="ἰδιώτης"|Lemma="ἰδιώτης"|Lang="G"|StrongNumber="G23990"|Morph="N,,,,,NMS,"|Case="Nominative"|Gender="Masculine"|Number="Singular"|English="untrained"
470110060051|τῷ|470110060061|det|Cat="det"|Id="17"|morphId="470110060051"|Unicode="τῷ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,DMS,"|Type="Article"|Case="Dative"|Gender="Masculine"|Number="Singular"
470110060061|λόγῳ,|470110060041|ADV|Cat="noun"|Id="19"|morphId="470110060061"|Unicode="λόγῳ,"|Lemma="λόγος"|Lang="G"|StrongNumber="G30560"|Morph="N,,,,,DMS,"|Case="Dative"|Gender="Masculine"|Number="Singular"|English="in speech"
470110060071|ἀλλ’|470110060101|conj|Cat="conj"|Id="20"|morphId="470110060071"|Unicode="ἀλλ’"|Lemma="ἀλλά"|Lang="G"|StrongNumber="G02350"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="yet"
470110060081|οὐ|470110060101|ADV|Cat="adv"|Id="24"|morphId="470110060081"|Unicode="οὐ"|Lemma="οὐ"|Lang="G"|StrongNumber="G37560"|Morph="D,,,,,,,,,"|English="not"
470110060091|τῇ|470110060101|det|Cat="det"|Id="27"|morphId="470110060091"|Unicode="τῇ"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,DFS,"|Type="Article"|Case="Dative"|Gender="Feminine"|Number="Singular"
470110060101|γνώσει,|None|CL|Cat="noun"|Id="29"|morphId="470110060101"|Unicode="γνώσει,"|Lemma="γνῶσις"|Lang="G"|StrongNumber="G11080"|Morph="N,,,,,DFS,"|Case="Dative"|Gender="Feminine"|Number="Singular"|English="in knowledge"
470110060111|ἀλλ’|470110060101|conj|Cat="conj"|Id="30"|morphId="470110060111"|Unicode="ἀλλ’"|Lemma="ἀλλά"|Lang="G"|StrongNumber="G02350"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="indeed"
470110060121|ἐν|470110060131|prep|Cat="prep"|Id="34"|morphId="470110060121"|Unicode="ἐν"|Lemma="ἐν"|Lang="G"|StrongNumber="G17220"|Morph="P,,,,,D,,,"|Case="Dative"|English="in"
470110060131|παντὶ|470110060141|ADV|Cat="pron"|Id="36"|morphId="470110060131"|Unicode="παντὶ"|Lemma="πᾶς"|Lang="G"|StrongNumber="G39560"|Morph="RI,,,,DNS,"|Type="Indefinite"|Case="Dative"|Gender="Neuter"|Number="Singular"|English="every way"
470110060141|φανερώσαντες|470110060101|CL|Cat="verb"|Id="39"|morphId="470110060141"|Unicode="φανερώσαντες"|Lemma="φανερόω"|Lang="G"|StrongNumber="G53190"|Morph="V,PAA,NMP,"|Mood="Participle"|Tense="Aorist"|Voice="Active"|Case="Nominative"|Gender="Masculine"|Number="Plural"|English="have made ~ clear"
470110060151|ἐν|470110060161|prep|Cat="prep"|Id="42"|morphId="470110060151"|Unicode="ἐν"|Lemma="ἐν"|Lang="G"|StrongNumber="G17220"|Morph="P,,,,,D,,,"|Case="Dative"|English="in"
470110060161|πᾶσιν|470110060141|ADV|Cat="pron"|Id="44"|morphId="470110060161"|Unicode="πᾶσιν"|Lemma="πᾶς"|Lang="G"|StrongNumber="G39560"|Morph="RI,,,,DNP,"|Type="Indefinite"|Case="Dative"|Gender="Neuter"|Number="Plural"|English="all things"
